user_id,event_time,event_type,product_id,shipping_fee,discount,price,device,referral_source
U00001,2025-09-07 12:55:01.096262,visit,P1003,,,,tablet,email
U00001,2025-09-07 13:27:01.096262,view_product,P1094,,,38.45,tablet,organic
U00001,2025-09-07 14:43:01.096262,add_to_cart,P1003,,,36.87,mobile,organic
U00001,2025-09-07 15:55:01.096262,checkout,P1083,14.03,,95.51,desktop,email
U00002,2025-10-05 09:10:54.854653,visit,P1020,,,,tablet,social
U00002,2025-10-05 09:54:54.854653,view_product,P1027,,,192.3,desktop,organic
U00002,2025-10-05 10:06:54.854653,add_to_cart,P1045,,,172.55,tablet,email
U00002,2025-10-05 11:50:54.854653,checkout,P1058,10.72,,195.16,desktop,organic
U00002,2025-10-05 13:01:54.854653,purchase,P1080,12.37,43.09,123.92,tablet,organic
U00003,2025-10-03 14:40:47.629439,visit,P1098,,,,desktop,organic
U00003,2025-10-03 16:30:47.629439,view_product,P1012,,,88.42,desktop,email
U00003,2025-10-03 16:51:47.629439,add_to_cart,P1026,,,140.63,tablet,organic
U00004,2025-10-05 13:57:07.919030,visit,P1031,,,,mobile,social
U00004,2025-10-05 14:46:07.919030,view_product,P1081,,,143.87,mobile,email
U00005,2025-07-22 13:02:05.089337,visit,P1004,,,,desktop,social
U00005,2025-07-22 13:37:05.089337,view_product,P1072,,,177.75,desktop,ads
U00005,2025-07-22 15:01:05.089337,add_to_cart,P1082,,,102.59,desktop,ads
U00006,2025-09-26 14:14:50.210930,visit,P1095,,,,tablet,social
U00006,2025-09-26 16:09:50.210930,view_product,P1046,,,59.48,mobile,social
U00007,2025-09-05 18:49:02.130183,visit,P1019,,,,tablet,ads
U00007,2025-09-05 20:31:02.130183,view_product,P1076,,,31.43,desktop,social
U00007,2025-09-05 21:39:02.130183,add_to_cart,P1070,,,174.94,mobile,organic
U00008,2025-10-03 10:37:17.567283,visit,P1098,,,,tablet,email
U00008,2025-10-03 10:52:17.567283,view_product,P1020,,,101.67,tablet,email
U00009,2025-07-21 15:48:48.302576,visit,P1013,,,,tablet,email
U00009,2025-07-21 17:36:48.302576,view_product,P1077,,,55.8,desktop,ads
U00010,2025-08-26 15:11:19.082519,visit,P1000,,,,tablet,email
U00010,2025-08-26 16:14:19.082519,view_product,P1046,,,178.17,desktop,ads
U00010,2025-08-26 16:22:19.082519,add_to_cart,P1072,,,190.45,mobile,social
U00010,2025-08-26 18:07:19.082519,checkout,P1097,10.65,,42.64,tablet,social
U00010,2025-08-26 19:18:19.082519,purchase,P1067,17.45,21.16,58.12,tablet,ads
U00011,2025-08-14 11:05:13.019367,visit,P1085,,,,tablet,email
U00012,2025-08-25 14:01:39.102531,visit,P1031,,,,mobile,organic
U00012,2025-08-25 14:45:39.102531,view_product,P1070,,,61.42,mobile,organic
U00013,2025-09-06 20:49:17.241891,visit,P1008,,,,mobile,email
U00013,2025-09-06 20:59:17.241891,view_product,P1035,,,140.42,mobile,ads
U00014,2025-08-04 13:13:38.033045,visit,P1060,,,,mobile,social
U00014,2025-08-04 14:57:38.033045,view_product,P1012,,,37.45,desktop,email
U00014,2025-08-04 15:52:38.033045,add_to_cart,P1093,,,29.75,tablet,organic
U00014,2025-08-04 16:00:38.033045,checkout,P1043,16.01,,39.67,mobile,ads
U00014,2025-08-04 17:09:38.033045,purchase,P1054,3.67,23.13,177.41,mobile,social
U00015,2025-07-16 19:24:32.922430,visit,P1070,,,,mobile,organic
U00016,2025-10-06 23:39:53.111192,visit,P1011,,,,mobile,ads
U00016,2025-10-07 00:32:53.111192,view_product,P1027,,,175.64,mobile,ads
U00016,2025-10-07 01:21:53.111192,add_to_cart,P1049,,,67.74,desktop,email
U00017,2025-08-04 22:03:21.764833,visit,P1071,,,,tablet,social
U00017,2025-08-04 22:23:21.764833,view_product,P1027,,,194.37,tablet,organic
U00017,2025-08-04 23:59:21.764833,add_to_cart,P1006,,,125.15,tablet,ads
U00018,2025-10-06 18:37:32.755788,visit,P1023,,,,mobile,organic
U00019,2025-09-06 02:11:05.544950,visit,P1072,,,,mobile,organic
U00019,2025-09-06 03:31:05.544950,view_product,P1084,,,125.06,tablet,email
U00019,2025-09-06 05:31:05.544950,add_to_cart,P1085,,,148.91,mobile,email
U00019,2025-09-06 06:22:05.544950,checkout,P1082,6.0,,76.91,mobile,organic
U00019,2025-09-06 07:21:05.544950,purchase,P1072,19.92,3.66,58.37,desktop,ads
U00020,2025-08-12 17:52:42.912702,visit,P1008,,,,mobile,email
U00020,2025-08-12 18:29:42.912702,view_product,P1069,,,146.64,tablet,organic
U00021,2025-08-31 16:13:03.090604,visit,P1084,,,,mobile,ads
U00021,2025-08-31 16:47:03.090604,view_product,P1013,,,153.64,mobile,email
U00022,2025-08-24 06:58:37.078386,visit,P1026,,,,tablet,email
U00022,2025-08-24 08:03:37.078386,view_product,P1006,,,36.61,desktop,email
U00022,2025-08-24 08:09:37.078386,add_to_cart,P1098,,,43.55,desktop,ads
U00022,2025-08-24 09:44:37.078386,checkout,P1090,8.55,,21.74,mobile,ads
U00022,2025-08-24 10:54:37.078386,purchase,P1047,11.65,7.4,42.94,desktop,email
U00023,2025-09-15 19:05:21.676811,visit,P1005,,,,desktop,ads
U00023,2025-09-15 20:33:21.676811,view_product,P1013,,,83.66,tablet,social
U00024,2025-07-30 14:07:59.681700,visit,P1030,,,,mobile,ads
U00024,2025-07-30 16:00:59.681700,view_product,P1022,,,152.58,desktop,social
U00025,2025-08-01 12:57:46.965900,visit,P1031,,,,desktop,ads
U00025,2025-08-01 14:38:46.965900,view_product,P1048,,,176.99,desktop,ads
U00026,2025-09-18 01:56:53.986822,visit,P1039,,,,mobile,ads
U00026,2025-09-18 02:00:53.986822,view_product,P1051,,,79.09,mobile,email
U00027,2025-10-11 06:16:15.565553,visit,P1068,,,,desktop,organic
U00028,2025-08-30 04:58:27.921762,visit,P1074,,,,desktop,organic
U00028,2025-08-30 05:12:27.921762,view_product,P1044,,,151.14,desktop,social
U00029,2025-08-06 11:44:09.153658,visit,P1073,,,,mobile,email
U00029,2025-08-06 11:50:09.153658,view_product,P1000,,,113.59,tablet,ads
U00029,2025-08-06 12:37:09.153658,add_to_cart,P1085,,,185.74,tablet,email
U00030,2025-07-14 18:44:50.267990,visit,P1038,,,,tablet,email
U00030,2025-07-14 20:10:50.267990,view_product,P1051,,,145.5,tablet,ads
U00030,2025-07-14 20:35:50.267990,add_to_cart,P1048,,,141.92,mobile,email
U00030,2025-07-14 21:27:50.267990,checkout,P1000,6.08,,57.83,tablet,email
U00030,2025-07-14 22:27:50.267990,purchase,P1086,4.27,23.66,182.21,tablet,ads
U00031,2025-10-08 08:13:01.219316,visit,P1065,,,,tablet,email
U00032,2025-07-28 07:56:47.218894,visit,P1086,,,,desktop,ads
U00032,2025-07-28 09:40:47.218894,view_product,P1003,,,28.32,desktop,organic
U00032,2025-07-28 10:39:47.218894,add_to_cart,P1080,,,123.62,tablet,social
U00032,2025-07-28 11:43:47.218894,checkout,P1018,13.12,,21.0,mobile,social
U00032,2025-07-28 12:12:47.218894,purchase,P1089,10.36,2.51,64.86,mobile,social
U00033,2025-09-14 14:10:29.599882,visit,P1085,,,,tablet,email
U00034,2025-07-24 05:28:41.815771,visit,P1092,,,,tablet,social
U00035,2025-07-22 05:26:59.804075,visit,P1020,,,,tablet,social
U00035,2025-07-22 06:24:59.804075,view_product,P1031,,,171.18,desktop,social
U00035,2025-07-22 07:45:59.804075,add_to_cart,P1056,,,33.95,desktop,ads
U00035,2025-07-22 08:20:59.804075,checkout,P1069,1.61,,47.15,desktop,ads
U00035,2025-07-22 09:51:59.804075,purchase,P1053,8.15,27.13,94.84,mobile,social
U00036,2025-08-09 08:09:39.888528,visit,P1074,,,,tablet,organic
U00037,2025-08-25 20:28:38.912339,visit,P1061,,,,mobile,email
U00037,2025-08-25 21:07:38.912339,view_product,P1053,,,116.88,tablet,ads
U00037,2025-08-25 22:10:38.912339,add_to_cart,P1055,,,107.42,desktop,email
U00038,2025-08-06 16:59:43.506871,visit,P1021,,,,desktop,ads
U00038,2025-08-06 18:19:43.506871,view_product,P1050,,,126.54,tablet,organic
U00039,2025-10-05 21:22:04.607504,visit,P1059,,,,mobile,organic
U00039,2025-10-05 21:56:04.607504,view_product,P1027,,,101.85,desktop,social
U00040,2025-09-05 02:23:57.414855,visit,P1032,,,,mobile,social
U00040,2025-09-05 02:26:57.414855,view_product,P1006,,,199.98,desktop,ads
U00040,2025-09-05 03:50:57.414855,add_to_cart,P1083,,,27.25,mobile,ads
U00041,2025-08-16 14:56:50.385871,visit,P1030,,,,mobile,social
U00041,2025-08-16 16:22:50.385871,view_product,P1027,,,103.71,desktop,email
U00042,2025-09-23 13:20:16.120993,visit,P1091,,,,mobile,ads
U00042,2025-09-23 14:00:16.120993,view_product,P1003,,,187.2,tablet,social
U00043,2025-08-02 12:31:29.652202,visit,P1075,,,,tablet,ads
U00043,2025-08-02 12:45:29.652202,view_product,P1038,,,173.05,tablet,organic
U00044,2025-08-14 12:38:10.268782,visit,P1044,,,,tablet,social
U00044,2025-08-14 14:03:10.268782,view_product,P1064,,,136.56,mobile,social
U00044,2025-08-14 15:49:10.268782,add_to_cart,P1055,,,192.94,tablet,social
U00044,2025-08-14 17:20:10.268782,checkout,P1022,14.68,,193.79,desktop,social
U00044,2025-08-14 18:20:10.268782,purchase,P1093,11.85,16.12,64.19,mobile,email
U00045,2025-09-21 22:46:34.573131,visit,P1096,,,,desktop,social
U00045,2025-09-21 23:30:34.573131,view_product,P1041,,,52.73,mobile,email
U00045,2025-09-22 01:13:34.573131,add_to_cart,P1035,,,178.46,tablet,email
U00045,2025-09-22 02:25:34.573131,checkout,P1024,1.71,,149.61,desktop,ads
U00045,2025-09-22 03:54:34.573131,purchase,P1091,9.82,39.65,36.75,mobile,social
U00046,2025-07-29 03:09:41.934660,visit,P1084,,,,tablet,email
U00046,2025-07-29 04:10:41.934660,view_product,P1044,,,96.59,tablet,email
U00047,2025-08-06 07:52:21.125110,visit,P1032,,,,mobile,organic
U00047,2025-08-06 09:25:21.125110,view_product,P1015,,,153.72,tablet,ads
U00047,2025-08-06 09:50:21.125110,add_to_cart,P1061,,,69.77,tablet,email
U00048,2025-07-24 03:36:46.840013,visit,P1046,,,,mobile,email
U00048,2025-07-24 03:38:46.840013,view_product,P1016,,,69.38,mobile,email
U00049,2025-08-02 08:05:27.937907,visit,P1096,,,,desktop,organic
U00049,2025-08-02 09:57:27.937907,view_product,P1036,,,104.49,desktop,email
U00050,2025-08-30 03:56:43.670951,visit,P1061,,,,mobile,organic
U00050,2025-08-30 04:48:43.670951,view_product,P1073,,,133.3,mobile,ads
U00051,2025-08-20 08:11:11.660239,visit,P1010,,,,mobile,organic
U00051,2025-08-20 09:23:11.660239,view_product,P1077,,,127.3,tablet,ads
U00052,2025-10-04 12:11:51.028259,visit,P1056,,,,desktop,social
U00052,2025-10-04 12:51:51.028259,view_product,P1007,,,129.73,tablet,organic
U00052,2025-10-04 14:29:51.028259,add_to_cart,P1027,,,67.64,mobile,ads
U00052,2025-10-04 15:00:51.028259,checkout,P1009,3.13,,93.53,tablet,social
U00052,2025-10-04 15:38:51.028259,purchase,P1036,14.14,35.15,101.73,tablet,ads
U00053,2025-08-02 21:51:50.018511,visit,P1080,,,,tablet,ads
U00053,2025-08-02 22:46:50.018511,view_product,P1028,,,136.57,desktop,ads
U00053,2025-08-02 22:56:50.018511,add_to_cart,P1039,,,127.11,tablet,email
U00053,2025-08-02 23:53:50.018511,checkout,P1088,6.08,,92.45,desktop,social
U00053,2025-08-03 00:50:50.018511,purchase,P1005,17.79,36.73,128.67,mobile,organic
U00054,2025-07-17 06:05:55.519879,visit,P1073,,,,tablet,organic
U00054,2025-07-17 07:43:55.519879,view_product,P1034,,,123.72,mobile,social
U00055,2025-10-05 13:24:19.214272,visit,P1023,,,,tablet,social
U00056,2025-08-12 03:21:39.852306,visit,P1060,,,,desktop,social
