user_id,age,gender,country,account_created,preferred_category
U00001,56,Other,Canada,2025-05-06,Trousers
U00002,46,Male,Australia,2025-09-15,Shoes
U00003,32,Female,UK,2025-05-08,Trousers
U00004,60,Female,UK,2025-06-28,Shirts
U00005,25,Male,Canada,2025-09-29,Trousers
U00006,38,Female,Germany,2025-04-14,Shoes
U00007,56,Other,India,2025-08-09,Trousers
U00008,36,Other,Canada,2025-05-01,Shoes
U00009,40,Female,France,2025-04-20,Accessories
U00010,28,Other,India,2025-09-04,Shoes
U00011,28,Other,Canada,2025-08-15,Shoes
U00012,41,Male,UK,2025-09-13,Shoes
U00013,53,Other,India,2025-05-23,Accessories
U00014,57,Male,Germany,2025-05-17,Jackets
U00015,41,Female,Germany,2025-07-21,Shoes
U00016,20,Male,Australia,2025-09-20,Jackets
U00017,39,Female,India,2025-08-14,Shirts
U00018,19,Female,Australia,2025-04-26,Trousers
U00019,41,Female,France,2025-10-07,Jackets
U00020,61,Female,Canada,2025-05-10,Shirts
U00021,47,Female,US,2025-05-19,Trousers
U00022,55,Male,France,2025-09-17,Shoes
U00023,19,Female,Germany,2025-05-20,Shoes
U00024,38,Other,UK,2025-08-12,Shoes
U00025,50,Other,Germany,2025-05-09,Accessories
U00026,29,Female,US,2025-09-10,Accessories
U00027,39,Other,UK,2025-05-27,Accessories
U00028,61,Male,India,2025-09-15,Accessories
U00029,42,Male,India,2025-07-30,Shirts
U00030,44,Female,France,2025-09-05,Shirts
U00031,59,Female,Germany,2025-05-05,Shoes
U00032,45,Female,UK,2025-08-24,Trousers
U00033,33,Other,Canada,2025-07-03,Accessories
U00034,32,Other,UK,2025-10-08,Trousers
U00035,64,Male,Australia,2025-05-01,Shirts
U00036,61,Other,US,2025-04-19,Accessories
U00037,20,Male,France,2025-07-13,Shirts
U00038,54,Other,India,2025-08-04,Shirts
U00039,24,Male,Germany,2025-06-16,Jackets
U00040,38,Female,UK,2025-07-03,Shirts
U00041,26,Other,India,2025-04-29,Shoes
U00042,56,Male,Germany,2025-06-09,Shirts
U00043,35,Other,India,2025-04-14,Accessories
U00044,21,Female,Germany,2025-04-30,Shoes
U00045,42,Male,India,2025-04-19,Shirts
